matrix_size,row_major,column_major
1024x1024,0.00118558,0.00290413
2048x2048,0.00440246,0.01901
4096x4096,0.0171087,0.0914196
1024x1024,0.000916166,0.00215629
2048x2048,0.00419487,0.0171149
4096x4096,0.0155251,0.096025
1024x1024,0.0009885,0.00238487
2048x2048,0.00441221,0.0174653
4096x4096,0.016724,0.0938354
1024x1024,0.000985042,0.00244933
2048x2048,0.00431154,0.01843
4096x4096,0.0192259,0.0944993
1024x1024,0.00096225,0.00233171
2048x2048,0.00438071,0.0181731
4096x4096,0.0168205,0.0931936
1024x1024,0.0009925,0.00228046
2048x2048,0.00434513,0.0173637
4096x4096,0.0163363,0.097835
1024x1024,0.000970333,0.00227246
2048x2048,0.00455704,0.0179729
4096x4096,0.0155655,0.0930928
1024x1024,0.000936625,0.00214467
2048x2048,0.00380504,0.0175211
4096x4096,0.0158057,0.0919712
1024x1024,0.000945583,0.00231358
2048x2048,0.00416042,0.0169906
4096x4096,0.0153995,0.0925226
1024x1024,0.000915625,0.00219821
2048x2048,0.00414746,0.0172035
4096x4096,0.0160008,0.0912478
1024x1024,0.000992125,0.00244413
2048x2048,0.00414387,0.017253
4096x4096,0.015607,0.0918357
1024x1024,0.00101496,0.00241075
2048x2048,0.00419858,0.0175252
4096x4096,0.0172674,0.091629
1024x1024,0.000923625,0.00210163
2048x2048,0.00415946,0.0173725
4096x4096,0.0159528,0.0972291
1024x1024,0.000916792,0.00258175
2048x2048,0.00444817,0.0175595
4096x4096,0.0171297,0.0919593
1024x1024,0.000919666,0.00227017
2048x2048,0.00378313,0.0182625
4096x4096,0.0170072,0.0923755
1024x1024,0.000919291,0.00210954
2048x2048,0.00404671,0.0172328
4096x4096,0.0155177,0.0912012
1024x1024,0.000916875,0.00210167
2048x2048,0.004069,0.0176264
4096x4096,0.0155647,0.0909456
1024x1024,0.000980125,0.00221392
2048x2048,0.00412383,0.0170908
4096x4096,0.0154736,0.0913792
1024x1024,0.00100425,0.00221683
2048x2048,0.00413496,0.0170361
4096x4096,0.0155932,0.0917043
1024x1024,0.0009195,0.00220267
2048x2048,0.00414721,0.0173705
4096x4096,0.017128,0.090715
1024x1024,0.000940084,0.00235963
2048x2048,0.00441446,0.0182357
4096x4096,0.0175304,0.0919742
1024x1024,0.000915791,0.00223317
2048x2048,0.00414375,0.0170865
4096x4096,0.0155937,0.0912813
1024x1024,0.0009275,0.002268
2048x2048,0.00418883,0.0169392
4096x4096,0.0154541,0.0909617
1024x1024,0.000965541,0.002336
2048x2048,0.00449217,0.017283
4096x4096,0.0160932,0.108314
1024x1024,0.0009195,0.00258821
2048x2048,0.00482308,0.0201908
4096x4096,0.0156147,0.0957152
1024x1024,0.000916708,0.00214937
2048x2048,0.004276,0.0171275
4096x4096,0.0155609,0.0904977
1024x1024,0.000916416,0.00222792
2048x2048,0.00413021,0.0172275
4096x4096,0.015484,0.0922544
1024x1024,0.000913,0.00212742
2048x2048,0.00416625,0.0171866
4096x4096,0.0156891,0.0921755
1024x1024,0.000938167,0.00219462
2048x2048,0.00411904,0.0172554
4096x4096,0.0156143,0.091215
1024x1024,0.000916875,0.00238042
2048x2048,0.00413233,0.0168165
4096x4096,0.0155153,0.0911913
1024x1024,0.000947208,0.00224308
2048x2048,0.00399629,0.017211
4096x4096,0.0157713,0.0914382
1024x1024,0.000938541,0.00231921
2048x2048,0.00405292,0.0173748
4096x4096,0.0158149,0.0934201
1024x1024,0.000916417,0.00211642
2048x2048,0.00411729,0.0176453
4096x4096,0.0157615,0.0918953
1024x1024,0.000918166,0.002211
2048x2048,0.004179,0.0170672
4096x4096,0.0154905,0.0960453
1024x1024,0.000919958,0.00221767
2048x2048,0.00408804,0.0170718
4096x4096,0.015739,0.094604
1024x1024,0.000919042,0.00209392
2048x2048,0.00414808,0.0174543
4096x4096,0.015574,0.0926927
1024x1024,0.000916,0.00209808
2048x2048,0.00376233,0.017491
4096x4096,0.0157525,0.090914
1024x1024,0.000924625,0.0021975
2048x2048,0.00426971,0.0176136
4096x4096,0.0163528,0.0922388
1024x1024,0.000943542,0.00217525
2048x2048,0.00404633,0.0172903
4096x4096,0.0158315,0.0940307
1024x1024,0.000990834,0.00235125
2048x2048,0.00437238,0.0180237
4096x4096,0.0168089,0.0925017
1024x1024,0.00091525,0.00227667
2048x2048,0.00409083,0.0176534
4096x4096,0.0154959,0.0914023
1024x1024,0.000915708,0.00234362
2048x2048,0.00411917,0.0175663
4096x4096,0.0155543,0.0917582
1024x1024,0.000938791,0.00226946
2048x2048,0.00395967,0.017016
4096x4096,0.0154935,0.090791
1024x1024,0.000914625,0.00232667
2048x2048,0.00397738,0.017491
4096x4096,0.0155012,0.0902949
1024x1024,0.000916666,0.00220213
2048x2048,0.00400554,0.0171922
4096x4096,0.0155541,0.091399
1024x1024,0.000919291,0.00237696
2048x2048,0.00397812,0.01722
4096x4096,0.0156975,0.0913301
1024x1024,0.000917,0.00229621
2048x2048,0.00399008,0.017035
4096x4096,0.0155582,0.0911431
1024x1024,0.000961041,0.00231033
2048x2048,0.00422283,0.0193796
4096x4096,0.0161056,0.0913534
1024x1024,0.00460917,0.0148642
2048x2048,0.00576637,0.0236047
4096x4096,0.0164833,0.0915896
1024x1024,0.000920125,0.00212142
2048x2048,0.00418071,0.0180193
4096x4096,0.0173258,0.0937079
