dataset_type,dataset_size,bubble_mean,bubble_std,std_mean,std_std,speedup_ratio
random,small,0.028788214,0.002087648477721933,0.00016314347999999999,1.4051874328083247e-05,176.45948216870207
random,medium,1.9004434000000001,0.038142069152374176,0.0008548334000000001,8.102069922896876e-05,2223.174012620471
random,large,8.273913199999999,0.15343463192925236,0.0017266796,4.2612270770810766e-05,4791.805729331602
reverse,small,0.017020508,0.001161795818908234,1.753906e-05,3.579126186883142e-06,970.4344474561351
reverse,medium,0.42271307999999996,0.01060241306542034,7.935754e-05,5.055507367541392e-06,5326.690822321357
reverse,large,1.6926396,0.03399558812672071,0.0001553825,5.9230403295012215e-06,10893.373449391018
sorted,small,0.016613802,0.0005049363041220235,9.35836e-06,7.434139605460028e-07,1775.289901222009
sorted,medium,0.41827835999999996,0.009462144156110708,4.552744e-05,4.1637506402624205e-06,9187.390285946232
sorted,large,1.673796,0.035562891861475814,9.021166e-05,4.06404407320831e-06,18554.09821745881
